Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
03/23/00,06-19,The One with Joey's Fridge,Ben Weiss,"Story by : Seth Kurland
Teleplay by : Gigi McCreery & Perry Rein",22,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,14.3/24,21.5 million,225569
04/13/00,06-20,The One with Mac and C.H.E.E.S.E.,Kevin S. Bright,Doty Abrams,22,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,12.8/22,18.8 million,225575
04/27/00,06-21,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,"Story by : David J. Lagana
Teleplay by : Scott Silveri",22,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",14.7/25,20.6 million,225570
05/04/00,06-22,The One Where Paul's the Man,Gary Halvorson,"Story by : Brian Caldirola
Teleplay by : Sherry Bilsing-Graham & Ellen Plummer",22,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.,13.7/24,20.0 million,225571
05/11/00,06-23,The One with the Ring,Gary Halvorson,Ted Cohen & Andrew Reich,22,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,14.4/25,20.9 million,225572
05/18/00,"06-24
06-25",The One with the Proposal,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriAndrew Reich & Ted Cohen,60,"Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad. Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",20.0/32,30.7 million,225573225574
10/12/00,07-01,The One with Monica's Thunder,Kevin S. Bright,"Story by : Wil Calhoun
Teleplay by : David Crane & Marta Kauffman",22,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition.",16.6/27,25.54 million,226401
10/12/00,07-02,The One with Rachel's Book,Michael Lembeck,Andrew Reich & Ted Cohen,22,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading.",18.0/28,27.93 million,226402
10/19/00,07-03,The One with Phoebe's Cookies,Gary Halvorson,Sherry Bilsing & Ellen Plummer,22,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack.",15.2/25,22.70 million,226405
10/26/00,07-04,The One with Rachel's Assistant,David Schwimmer,Brian Boyle,22,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives"".",14.7/24,22.66 million,226403
11/02/00,07-05,The One with the Engagement Picture,Gary Halvorson,"Story by : Earl Davis
Teleplay by : Patty Lin",22,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing.",15.2/24,24.43 million,226404
11/09/00,07-06,The One with the Nap Partners,Gary Halvorson,Brian Buckner & Sebastian Jones,22,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor.",14.5/22,22.01 million,226406
11/16/00,07-07,The One with Ross's Library Book,David Schwimmer,Scott Silveri,22,"Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend.",15.7/25,23.73 million,226410
11/23/00,07-08,The One Where Chandler Doesn't Like Dogs,Kevin S. Bright,Patty Lin,22,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",9.6/19,16.57 million,226407
12/07/00,07-09,The One with All the Candy,David Schwimmer,Wil Calhoun,22,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",13.6/22,21.08 million,226408
12/14/00,07-10,The One with the Holiday Armadillo,Gary Halvorson,Gregory S. Malins,22,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",15.1/24,23.26 million,226409
01/04/01,07-11,The One with All the Cheesecakes,Gary Halvorson,Shana Goldberg-Meehan,22,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,15.0/24,24.37 million,226412
01/11/01,07-12,The One Where They're Up All Night,Kevin S. Bright,Zachary Rosenblatt,22,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",14.8/23,22.86 million,226413
02/01/01,07-13,The One Where Rosita Dies,Stephen Prime,"Story by : Ellen Plummer & Sherry Bilsing
Teleplay by : Brian Buckner & Sebastian Jones",22,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,14.2/22,22.24 million,226415
02/08/01,07-14,The One Where They All Turn Thirty,Ben Weiss,"Story by : Vanessa McCarthy
Teleplay by : Ellen Plummer & Sherry Bilsing",22,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,13.9/21,22.40 million,226411
